chapter,section,subsection,label,caption,language,lines,refs,has_imports,category,layer,prereq,run_entry,disposition
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-backup-scope,备份快照登记,SQL,10,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-role-view,面向报表角色的最小视图,SQL,7,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-revision-audit,观测修订审计登记,SQL,11,1,0,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-observability,数据库容量与新鲜度观察,SQL,7,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,数据库迁移、查询与运行维护练习,lst:ch08-sql-trace-event,按事件标识追溯业务闭环,SQL,10,1,0,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,Vue前端页面组织,lst:ch08-frontend-api,监测主线 API 层,JavaScript,29,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,Vue前端页面组织,lst:ch08-monitoring-store,Pinia 监测状态仓库,JavaScript,64,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,Vue前端页面组织,lst:ch08-monitoring-router,监测页面路由与角色守卫,JavaScript,34,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,Vue前端页面组织,lst:ch08-scene-bridge,三维场景测点定位桥接,JavaScript,36,1,1,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,Vue前端页面组织,lst:ch08-frontend-entry,Vue 应用入口与场景桥接注入,JavaScript,13,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,Spring Boot后端与数据质量,lst:ch08-quality-java,质量检查服务实现,Java,144,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-entity-asset,AssetEntity 空间对象实体,Java,61,1,1,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-entity-reading,ReadingEntity 与复合主键,Java,80,1,1,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-entity-workflow,Warning、WorkOrder 与 ModelRun 实体,Java,113,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-repository,监测主线 Repository 接口,Java,58,2,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-service,监测主线事务服务,Java,58,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-controller,监测主线 REST Controller 与 DTO,Java,62,1,1,原理实验,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-workorder-chain,工单创建与完成的后端链,Java,80,2,1,连续案例,G,,,
ch08,数据模型、前端展示与后端处理,监测主线后端实现,lst:ch08-kafka-consumer,Kafka 观测事件消费与幂等写入,Java,55,2,1,连续案例,G,,,
ch08,智能分析、预警与业务闭环,蓝黄橙红四级预警,lst:ch08-classification-test,质量码分类测试,Java,43,0,1,原理实验,C,,,
ch08,数字孪生水利平台案例,端到端实现切片与验收脚本,lst:ch08-acceptance-assert,端到端切片的验收断言,Java,82,1,0,原理实验,E,,,
ch08,系统部署、运维与验收,从部署图到可执行编排,lst:ch08-compose,案例水库平台 Docker Compose 编排基线,YAML,13,2,0,工程支撑,C,,,
ch08,系统部署、运维与验收,环境变量、密钥与版本回滚,lst:ch08-env-secrets,环境变量与密钥示例,YAML,8,1,0,工程支撑,C,,,
ch08,系统部署、运维与验收,Nginx 反向代理与静态资源,lst:ch08-nginx,前端静态资源与 Spring Boot API 的 Nginx 配置,Nginx,15,1,0,工程支撑,C,,,
ch08,系统部署、运维与验收,健康检查、告警与容量边界,lst:ch08-alert-rules,监控指标与告警规则基线,YAML,20,1,0,工程支撑,C,,,
ch08,系统部署、运维与验收,备份、恢复与演练记录,lst:ch08-backup-rehearsal,备份恢复演练与健康检查清单,YAML,7,1,0,工程支撑,C,,,
